id,identifier,name,type_id,damage_class_id,power,energy,accuracy,priority,target_id,summary,description,category
178,cotton-spore,Cotton Spore,4,3,,2,100,0,2,Lowers the target's Speed by two stages.,"The user releases a large quantity of cotton spores that cling tenaciously to whatever they touch. As they stick to the target they impede motion, greatly reducing the hapless Pokémon's speed while simultaneously making them very fluffy.",Stat modifier (speed)
179,reversal,Reversal,7,1,,-1,100,0,1,Base damage rises as the user's health falls.,"Generally used only in the direst of situations. The user channels its desperation and weakness into an unusually powerful strike, trying to turn the tables on its foe. This attack's base power therefore increases as their HP decreases: Below 5% health remaining: 200 power; Between 5% and 10% health remaining: 150 power; Between 11% and 20% health remaining: 100 power; Between 21% and 35% health remaining: 80 power; Between 36% and 70% health remaining: 40 power; More than 70% health remaining: 20 power.",Contact
180,spite,Spite,14,3,,3,100,0,1,Raises the energy cost of the target's last move by 4% until it leaves battle.,"The user spitefully seals off the last move used by the opponent with a ghostly curse, making it much more difficult for the target to use it in the future. As a result, the spited attack costs the target 4% more energy than normal to use, after all other modifiers have been applied, until they are knocked out or recalled. More than one move may be spited at a time, and repeated uses of spite against the same attack have cumulative effects.",Projectile/Special
181,powder-snow,Powder Snow,6,2,40,2,100,0,2,Has a 10% chance to freeze the target.,The user generates a small flurry of snow and blows it at the opponent. It may cause mild freezing.,Projectile/Status (freeze)
182,protect,Protect,1,3,,-1,,4,5,Protects the user against all moves this action.,"The user sets up a transparent energy shield in front of them that deflects the next attacks of its opponents. The shield disappears after that action. Successive use of protect may fail, and it costs a considerable amount of energy to produce a good protect, especially against a very powerful attack.",Special/Priority 3
183,mach-punch,Mach Punch,7,1,40,3,100,1,1,Deals damage.  No other effect.,The user dashes forward at blinding speed to deliver a light punch. This attack can be performed much more quickly than most.,Contact/Priority 1
184,scary-face,Scary Face,1,3,,2,100,0,1,Lowers the target's Speed by two stages.,"The user makes a hideously scary face to frighten the opponent, stopping it in its tracks and causing it to be extremely cautious for the next few actions, greatly reducing its speed. This attack requires eye contact to be effective.",Projectile/Stat modifier (speed)
185,feint-attack,Feint Attack,16,1,60,3,,0,1,Never misses.,"The user cloaks itself in dark energy, effectively vanishing from sight, and maneuvers itself to strike the opponent from behind. The user reappears just after hitting the opponent. As it is impossible to see the user coming, this attack is extremely difficult to avoid.",Contact
186,sweet-kiss,Sweet Kiss,18,3,,3,75,0,1,Confuses the target.,"The user gives the target a shy kiss on the cheek, charming but confusing them. The move is less likely to succeed if used again on the same opponent later in the battle.",Status (confusion)
187,belly-drum,Belly Drum,1,3,,6,,0,5,Maximizes the user's Attack.  Costs 15% HP.,"The user pounds its chest in a show of power, harming itself (15% health loss) but creating a massive energy rush and boost in confidence that maxes out its physical attack power.",Stat modifier (attack)
188,sludge-bomb,Sludge Bomb,8,2,90,6,100,0,1,Has a 30% chance to poison the target.,"The user forms a semisolid ball of toxic sludge and then sends it hurtling into the opponent, where it explodes on contact. May cause poisoning.",Projectile/Status (poison)
189,mud-slap,Mud-Slap,9,2,20,2,100,0,1,Has a 100% chance to lower the target's Accuracy by one stage.,"The user slaps a small amount of mud into the eyes of the opponent, temporarily blinding it.",Projectile/Stat modifier (accuracy)
190,octazooka,Octazooka,3,2,65,4,85,0,1,Has a 50% chance to lower the target's Accuracy by one stage.,"The user blasts a ball of inky water at the opponent. It explodes upon contact, blinding the target and covering it in thick black ink.",Projectile/Stat modifier (accuracy)
191,spikes,Spikes,9,3,,3,,0,2,Scatters spikes which deal 2% damage to any Pokémon who steps on them.,The user scatters caltrops all over the ground around its foes. Stepping on the spikes causes 2% typeless damage.,Special
192,zap-cannon,Zap Cannon,5,2,120,8,50,0,1,Has a 100% chance to paralyze the target.,"The user forms a ball of unstable electric energy and fires it at the opponent. The erratic nature of the attack makes it difficult to control and aim, but it is extremely powerful and paralysis is guaranteed if it should strike.",Projectile/Status (paralysis)
193,foresight,Foresight,1,3,,5,,0,1,Resets each target's Evasion stages and makes Ghost-types vulnerable to Normal- and Fighting-type moves for six actions.,"The user emits a bright red beam of light from its eyes and sweeps the arena with it. All Pokémon struck by this beam are stripped of their abilities of manipulating illusions and phasing as their energy signature is identified, leaving them on equal footing with the user of foresight. Illusions, regardless of power, will shatter instantly and cannot be restored, while ghosts will be locked into the real world and solidified, totally visible and vulnerable to normal- and fighting-type attacks. The effects of foresight fade six actions after its use.",Special
194,destiny-bond,Destiny Bond,14,3,,-1,,0,5,Knocks out any Pokémon that knocks out the user before the end of the round.,"The casts a spell over itself, glowing with a dark purple aura as it waits for its opponent to attack. If the user is knocked out by damage from an opponent's attack before the end of the round, this aura spreads out from the user, surrounding and entrapping the opponent, sapping their energy and knocking them out even as the user faints.",Special
195,perish-song,Perish Song,1,3,,5,,0,9,Causes all Pokémon currently on the field to faint in three rounds if they are still on the field.,"The user sings a dastardly song that twists fate and brings about the doom of all who hear it. After the next three rounds, all affected Pokémon faint, regardless of their health or energy.",Special
196,icy-wind,Icy Wind,6,2,55,4,95,0,2,Has a 100% chance to lower the target's Speed by one stage.,The user opens its mouth and exhales a weak gust of frigid air to attack the opponent with bitter cold. The user is slowed either by sluggishness in response to a sudden drop in metabolism or by a thin layer of frost that forms on its joints.,Projectile/Stat modifier (speed)
197,detect,Detect,7,3,,-1,,4,5,Protects the user from all moves this action.,"The user takes up a defensive stance, greatly heightening their senses and focusing totally on their opponents. Their chance of dodging attacks made against them for that action is vastly increased, but the energy expended to produce the uncanny alertness of detect is considerable. This move is likely to fail if used in succession, as the Pokémon's stamina wears down quickly when attempting to make use of this attack.",Special/Priority 3
198,bone-rush,Bone Rush,9,1,25,-1,90,0,1,Hits 2-5 times in one action.  Base damage is 2.5 times the number of hits.,"The user charges at the target and repeatedly thwacks them with their bone in a quick flurry of strikes. Although each hit is relatively weak, the damage can add up quickly if a large number of swipes are successful. If the user has no bone to use, it may create one out of pure ground-type energy.",Contact/Random damage
199,lock-on,Lock On,1,3,,3,,0,1,Ensures that the user's next move against the target will hit.,"The user locks on to the opponent's energy signature, tracking them unerringly so that its next strike is almost certain to hit.",Special
200,outrage,Outrage,15,1,120,7,100,0,4,"Forces the user to use this move for several actions, then confuses it.","The user flies into a draconic rage, its eyes glowing a flat orange color as flame explodes out from its body, and madly unleashes its anger on anyone and anything in the vicinity. The attack is extremely potent and powerful but uncontrollable. Extreme caution is warranted, and repeated usage of this unstable attack is liable to addle the Pokémon attempting to control it.",Contact/Status (confusion)
201,sandstorm,Sandstorm,13,3,,5,,0,9,Changes the weather to a sandstorm for five actions.,"The user can either create a widespread sandstorm that ravages all non-ground-, rock-, or steel-type Pokémon, or shroud only itself in a concentrated shield of whirling dust to deflect incoming projectile attacks. Rock-type Pokémon have their special defense multiplied by 1.5x as long as the sandstorm rages, moonlight and morning sun heal only up to 33% when under its effects, and solarbeam's power is halved so long as sandstorm is in play. In addition, visibility is greatly reduced for all Pokémon caught in the sandstorm, though Pokémon already vulnerable to it thanks to their typing have even more difficulty seeing than those that resist the storm's effects.",Weather
202,giga-drain,Giga Drain,4,2,75,4,100,0,1,Drains half the damage dealt to heal the user.,"The user taps into its opponent's lifeforce and siphons some of it away, causing it to manifest as a green aura surrounding the target that is drawn off into the user to heal roughly half of what was taken. This attack may be used to attack either health or energy.",Projectile/Healing (indirect)
203,endure,Endure,1,3,,-1,,4,5,Prevents direct damage from lowering the user's health below 1% this action.,"The user braces itself and focuses solely on surviving the next attack no matter what. While using this, the user glows a blueish color. If struck by a move while endure is being performed, the user will consume a fair amount of energy to hang on and survive the attack, taking reduced damage (and never falling below 1% HP). Enduring multiple attacks becomes increasingly difficult, and the move may eventually fail. In addition, endure does not allow for the survival of non-attack damage from environmental conditions such as sandstorm, status effects such as burn, and similar.",Special/Priority 3
204,charm,Charm,18,3,,2,100,0,1,Lowers the target's Attack by two stages.,"The user acts very charming and cute, making the target more reluctant to attack them and greatly reducing their physical power. If the target catches on to the user's act, however, this attack loses all effectiveness.",Stat modifier (attack)
205,rollout,Rollout,13,1,30,2,90,0,1,Base damage doubles with each consecutive use.,"The user curls up into a tight ball and spins at a rapid pace, moving forward to bowl over the target. This move can be used in succession for a more powerful strike each time, as the user will pick up speed as it goes along, up until the point where rollout misses. If defense curl is used on the action before this move is used, its base power starts at 60 instead of 30.",Contact
206,false-swipe,False Swipe,1,1,40,2,100,0,1,Cannot lower the target's health below 1%.,"The user fakes a scratch or slash, which may put the opponent off momentarily. The attack itself does very little damage and takes little energy to perform, but the opponent may be distracted or shocked enough by the attack to lose its concentration.",Contact
207,swagger,Swagger,1,3,,4,90,0,1,Confuses the target and raises its Attack by two stages.,"The user struts around and brags loudly, infuriating the opponent and sending them into a berserk rage where they may harm themselves.",Projectile/Status (confusion)/Stat modifier (attack)
208,milk-drink,Milk Drink,1,3,,-1,,0,5,Restores 50% of the user's health.,The user squirts milk into a container made of energy and then drinks the stored milk to replenish health. It takes a great amount of energy to produce milk more than once every few rounds.,Healing (direct)
209,spark,Spark,5,1,65,4,100,0,1,Has a 30% chance to paralyze the target.,"The user causes electrical charge to run along the surface of its body, then tackles the target.",Contact/Status (paralysis)
210,fury-cutter,Fury Cutter,12,1,40,2,95,0,1,"Damage and energy double with each successful consecutive use, up to 16%/8%.","The user slashes the opponent with an appendage charged with bug-type energy. If this attack is successful many actions in a row, the user becomes more confident and bold in its strikes and this attack's base power increases.",Contact
211,steel-wing,Steel Wing,17,1,70,4,90,0,1,Has a 10% chance to raise the user's Defense by one stage.,"The user tenses the muscles in its wing and imbues it with metallic power until it reaches the strength of steel, then smashes it into the opponent. After the attack is completed, some of the summoned metal may remain, slightly raising the user's defense.",Contact/Stat modifier (defense)
212,mean-look,Mean Look,1,3,,4,,0,1,Prevents the target from leaving battle or becoming intangible for five actions.,"The user glares at the foe in a sinister way, preventing them from switching, baton passing, or going intangible (as with faint attack or teleport) for a short time. This attack may also startle the target and cause it to become nervous, disrupting its concentration.",Projectile/Special
213,attract,Attract,1,3,,4,100,0,1,Infatuates the target if it is the opposite gender.,"The Pokémon makes full use of its charm and tries to appeal to the opposite gender. This often causes the target to be more gentle with their attacks, or they may refuse to attack the user entirely. However, if the attracted Pokémon senses its attractor is really just full of deceit, it becomes enraged and will not fall for such a trick so easily again.",Status (attraction)
214,sleep-talk,Sleep Talk,1,3,,-1,,0,5,Randomly uses one of the user's other moves.  Only works while asleep.,"The user murmurs in its sleep, its subconscious responding to its trainer's command, and while still remaining asleep performs a random move from anywhere in its movepool.",Random
215,heal-bell,Heal Bell,1,3,,3,,0,8,Heals the status conditions of all Pokémon who hear the bell.,"The user creates a bell of pure energy that shortly begins to toll, the sweet sound entrancing all who listen and casting over them a spell that heals them of all major status anomalies.",Healing (status)
216,return,Return,1,1,,-1,100,0,1,"Base damage is equal to the user's happiness, up to 10%.","The user is energized by its state of well-being and love for its trainer. If the user is happy and doing well in battle, the attack will be more powerful.",Contact
217,present,Present,1,1,,-1,90,0,1,Randomly deals 4%-12% base damage or heals the target.,"The user throws several box-shaped energy constructs at the opponent. These projectiles may do either minor damage, medium damage, huge damage, or even heal the opponent upon striking. Which of these effects present causes in any given case is totally random, however.",Projectile
218,frustration,Frustration,1,1,,-1,100,0,1,Base damage and energy cost vary with the user's mood.,"The user beats on the opponent with a series of physical attacks. If the user is feeling frustrated or depressed, the attack is more powerful as it vent its negative emotions on the hapless opponent. The attack will normally leave the user feeling better, having purged its bad mood.",Contact
219,safeguard,Safeguard,1,3,,-1,,0,8,Protects the user and its allies from status ailments for five actions.,The user surrounds itself and its allies with a pale green aura that protects them from status for five actions. This attack requires a constant influx of energy to keep active.,Special
220,pain-split,Pain Split,1,3,,-1,,0,1,Averages the user and target's health.,"The user forms a sympathetic bond with the enemy, and the two Pokémon's mental and physical states get balanced against one another, equalizing their health. However, a high difference in health causes a great deal of energy expenditure. For each 1% of HP gained from the split, the user must expend 1% of energy.",Special
221,sacred-fire,Sacred Fire,2,1,100,6,95,0,1,Has a 50% chance to burn the target.,"The user surrounds itself in a sheet of extremely intense flame, then releases a powerful, coiling blast of fire at the foe. The great heat of this fire gives it a great chance of burning.",Projectile/Status (burn)
222,magnitude,Magnitude,9,1,,-1,100,0,3,Base damage varies randomly from 1% to 15%.,"The user stomps down on the ground and creates a tremor of random intensity, ranging anywhere from pathetically weak to overwhelmingly strong. Most of the time the intensity lands at a fair middle ground.",Projectile
223,dynamic-punch,Dynamic Punch,7,1,100,6,50,0,1,Has a 100% chance to confuse the target.,"The user pulls its fist back as it begins to glow, then launches an incredible punch at the opponent. The punch lands in an explosion of dazzling power, leaving the target dazed, dizzied, and confused (not to mention seriously bruised). However, the punch is a rather slow one and relatively easy to avoid.",Contact/Status (confusion)
224,megahorn,Megahorn,12,1,120,7,85,0,1,Deals damage.  No other effect.,The User's horn glows with power before the user rams it into the opponent with overwhelming force.,Contact
225,dragon-breath,Dragon Breath,15,2,60,4,100,0,1,Has a 30% chance to paralyze the target.,"The user opens its mouth and releases a burst of green-blue dragon energy. The noxious chemical makeup of this attack may cause those who are unlucky enough to inhale it to become paralyzed, and it also leaves minor chemical burns on the skin.",Projectile/Status (paralysis)
226,baton-pass,Baton Pass,1,3,,3,,0,5,"Switches out, passing the user's stat modifiers and various effects to its replacement.","The user glows a reddish color and freezes in place, before reverting to a ball of glowing red energy. The trainer's next Pokémon is sent out into this ball of energy, absorbing the baton passer's stat changes and some other special conditions before the user is returned to their pokéball. In addition to simple stat modifiers, the effects of ingrain, leech seed, and mean look may be passed. This attack may only be used in 2vs2 or greater matches, and only if the user's trainer has at least one Pokémon left that has not yet been revealed. In addition, the Pokémon that used baton pass must eventually be sent out again. Thus, in a 2vs2 battle if an absol passes to a pelipper and the pelipper faints, the absol must be sent out again with the same amount of HP/energy left as when it used baton pass, and it may at that point no longer baton pass.",Stat modifier (any and all)
227,encore,Encore,1,3,,4,100,0,1,Makes the target repeat its last move for three actions.,"The user claps its hands (or whatever it has that passes for hands) for a foe, cheering and praising it for the last move it performed while demanding an encore. The opponent will then repeat the applauded move 3 times out of pride, flattered that the user found its performance so appealing and well-done. If the target realizes that it has been deceived, however, it will break off the chain of repeated attacks early and not be susceptible to encore again.",Special
228,pursuit,Pursuit,16,1,40,2,100,0,1,Deals extra damage and hits first if the target is about to switch out or run away.,"The user follows the opposing Pokémon and grabs them with its teeth or an appendage charged with dark energy. The harder the opponent struggles to escape this attack, the more damage it deals.",Contact
229,rapid-spin,Rapid Spin,1,1,20,1,100,0,1,"Frees the user from Leech Seed and trapping moves, and clears Spikes et al.","The user spins rapidly and rams into the opponent. The speed of the spin can be so great sometimes that it can deflect incoming attacks, and it can also be used to scatter such attacks as spikes or leech seed or escape from sticky situations.",Contact
230,sweet-scent,Sweet Scent,1,3,,1,100,0,2,Lowers the target's Evasion by one stage.,"The user wafts a sweet scent at the opposing Pokémon, entrancing them and making them drop their guard and become more easy to strike.",Projectile/Stat modifier (accuracy)
231,iron-tail,Iron Tail,17,1,100,6,75,0,1,Has a 30% chance to lower the target's Defense by one stage.,"The user's tail glows a brilliant white as the muscles within it tense and a thin sheet of metal seeps out to cover it. Then the Pokémon jumps into the air, turns around, and slams its tail into the target. This move may break open the target's skin, resulting in a slight decrease in defense",Contact/Stat modifier (defense)
232,metal-claw,Metal Claw,17,1,50,3,95,0,1,Has a 10% chance to raise the user's Attack by one stage.,"The user's claw glows with shining steel energy as a thin layer of metal encases it before they use it to rip into the opponent with considerable force. Residual traces of the metal coating may remain after the performance of this attack, slightly raising the user's attack.",Contact/Stat modifier (attack)
233,vital-throw,Vital Throw,7,1,70,4,,-1,1,Never misses.,"The user waits for the opponent to attack, and upon either making contact with the enemy or finding the origin of the enemy's distance attack, grabs the opponent and tosses them to bodily to the ground. Because of the calculated nature of the attack, it has incredible accuracy.",Contact/Priority -1
234,morning-sun,Morning Sun,1,3,,-1,,0,5,"Restores up to 50% of the user's health, depending on the amount of sunlight in the arena.","The user utilizes available sunlight and synthesizes it into health. It takes a fair amount of energy to synthesize a large amount of health, and the effectiveness of this attack is dependent on the amount of natural light available in the arena, which may be altered by specific weather conditions.",Healing (direct)
235,synthesis,Synthesis,4,3,,-1,,0,5,"Restores 50% of the user's health usually, 66% during strong sunlight, or 25% during rain, sandstorm, or hail.","The user gathers energy from the sun and absorbs it to rapidly synthesize a bulk amount of health. Under sunny conditions the user will be able to gather much more light, resulting in a recovery of up to 66% health. However, during rain, sandstorm, or hail, the reduction in sunlight will restrict recovery to 25% health.",Healing (direct)
236,moonlight,Moonlight,18,3,,-1,,0,5,"Restores up to 50% of the user's health, depending on the amount of moonlight in the arena.","The user utilizes available moonlight and synthesizes it into health. It takes a fair amount of energy to synthesize a large amount of health, and the effectiveness of this attack is dependent upon the amount of natural light available in the arena, which may be altered by specific weather conditions.",Healing (direct)
237,hidden-power,Hidden Power,1,2,60,3,100,0,1,Type is randomized per Pokémon per battle.,"The user draws on the energy buried deep within itself, unlocking a power only it can wield. As the user charges up, orbs of multicolored energy dance in the air around it and an eerie aura surrounds its body. It then releases the attack and sends a swirling stream of energy orbs rocketing into the foe.  This attack's type depends upon the Pokémon using it and is decided randomly when the attack is first used (all subsequent usages will produce a hidden power of the same type).",Projectile/Special
238,cross-chop,Cross Chop,7,1,100,5,80,0,1,Has a critical hit rate one stage higher than normal.,"The user lashes out with both hands at once, chopping down with each in a coordinated cross strike.",Contact/Critical
239,twister,Twister,15,2,40,2,100,0,2,Has a 20% chance to make the target flinch.,"The user summons a wild twister imbued with draconic energy and sets it to swirl around its opponents. If they are small enough, the foes may be picked up and thrown about by the high-speed winds, and flying-types are especially likely to be tossed about. This attack will strike even high-flying opponents.",Projectile
240,rain-dance,Rain Dance,3,3,,5,,0,9,Changes the weather to rain for five actions.,"The user performs an intricate dance, summoning rainclouds to the arena and starting a downpour. The rain boosts water attacks by 1.25x, increases thunder's accuracy to 100%, increases the energy necessary to charge solarbeam and reduces its power, and reduces the maximum health gain from morning sun and moonlight to 33%. It also cuts the power of fire-type attacks to 2/3 their normal damage.",Weather
241,sunny-day,Sunny Day,2,3,,5,,0,9,Changes the weather to strong sunlight for five actions.,"The user summons the sun to brighten the field. This makes charging solarbeam easier, and the resulting heat reduces the power of water attacks to 2/3 their normal effectiveness while increasing fire attacks to 1.25x their normal strength. Thunder's accuracy is reduced to 30%, and it becomes easier for Pokémon to thaw after being frozen, while the freeze condition may not be induced afresh. Moonlight and morning sun restore up to 66% health instead of up to 30%.",Weather
242,crunch,Crunch,16,1,80,4,100,0,1,Has a 20% chance to lower the target's Defense by one stage.,"The user sinks their teeth into the foe, biting down viciously. Its teeth are imbued with dark energy that burns as it enters the foe's system. This can leave a large, ragged hole in the target's flesh, slightly lowering their defense as a result.",Contact/Stat modifier (defense)
243,mirror-coat,Mirror Coat,11,2,,-1,100,-5,1,"Counters a special move, dealing twice as much damage as the user took.",The user covers itself in a shimmering coat of rainbow force that absorbs all energy that passes through it before returning it at double strength in the form of a concentrated beam. This effect counters the first special-type attack made against the user on the action it is performed.,Contact/Projectile/Priority -4
244,psych-up,Psych Up,1,3,,-1,,0,1,Copies the target's stat stages.,"The user links minds with an opponent, copying its physical and mental state exactly in order to emulate any of its stat boosts or reductions.",Stat modifier (all)
245,extreme-speed,Extreme Speed,1,1,80,4,100,2,1,Deals damage.  No other effect.,"The user takes off with a sudden, extreme burst of speed. This move is impossible to react to in nearly all cases, though the victim does have enough time to turn their face or bring up their hands to block. The user charges into the victim at high speed for good damage. This attack has a fairly high rate of energy consumption.",Contact/Priority 2
246,ancient-power,Ancient Power,13,2,60,3,100,0,1,Has a 10% chance to raise all stats (except Evasion and Accuracy) by one stage.,"The Pokémon summons ancient spirits lying trapped beneath the earth, bringing them back to the surface along with the rocks and earth that make up their tombs. A circle of stones glowing with blue and purple fire rise out of the earth and hover momentarily before converging on the opponent and slamming into them. There is a very small chance the Pokémon will be endowed with the spirits' power, resulting in a slight increase in all stats.",Projectile/Stat modifier (all)
247,shadow-ball,Shadow Ball,14,2,80,4,100,0,1,Has a 20% chance to lower the target's Special Defense by one stage.,"The user releases an unstable ball of ethereal energy that slams into the opponent. It may eat away at the opponent's skin with caustic ghost energy, slightly lowering its special defense.",Projectile/Stat modifier (special defense)
248,future-sight,Future Sight,11,2,120,7,100,0,1,"Hits the target one to three actions later, at the end of the action.","The user's eyes glow as it looks into the future and finds the best possible time to attack. The user decides on a suitable moment and hurls a burst of psychic energy towards that future point and trained on the exact spot the target will be occupying at that time. The trainer has no control over when future sight will strike, but rest assured that it will be in the next two or three actions. When the attack finally goes off, the victim will be struck with a tremendous ball of brilliant psychic energy that is extremely difficult to avoid, due to the user's having selected the point when they are most defenseless to let the attack take effect.",Projectile
249,rock-smash,Rock Smash,7,1,40,3,100,0,1,Has a 50% chance to lower the target's Defense.,"The user strikes the foe with a focused chop or punch, dealing damage depending on how hard and immobile the target is. The harder the target, the more effective the attack. This attack will also shatter shells or stony hides, resulting in slightly lowered defense.",Contact/Stat modifier (defense)
250,whirlpool,Whirlpool,3,2,35,2,85,0,1,Traps the target and deals 1% damage after each action for 2-5 actions.,"The user manipulates standing water to create a whirlpool around the foe, trapping it. Requires the opponent to be on or near water.",Projectile
251,beat-up,Beat Up,16,1,,-1,100,0,1,Base damage is equal to the number of Pokémon the user's trainer has remaining.,"The user summons its teammates in the form of shadowy apparitions that gang up on the target and beat on it mercilessly, attacking from all sides. The base power of this attack is ten times the number of Pokémon that the user's trainer has remaining.",Contact
252,fake-out,Fake Out,1,1,40,3,100,3,1,Makes the target flinch if the user has not already used this move since entering battle.,"The user rushes at the opponent and fakes an attack, which can startle the target into forgetting its command for that action. Opponents are unlikely to be startled by such a tactic again, making effective repeated usage of this attack nigh-impossible.",Projectile/Flinch (100% first use)/Priority 3
253,uproar,Uproar,1,2,90,5,100,0,4,Prevents all Pokémon from sleeping for three actions.,"The user sets up a painful cacaphony, yelling and carrying on at the top of its voice. This attack drowns out other sound moves and makes sleep impossible for three actions.",Projectile
254,stockpile,Stockpile,1,3,,-1,,0,5,Stores between 10% and 25% energy for use with Swallow or Spit Up.,"The user stores some amount of energy between 10% and 25% for later use, using it to temporarily bolster defenses slightly and preparing it for rapid use in either swallow or spit up. The stat boosts gained through use of this attack are lost immediately upon the use of either spit up or swallow, but may not otherwise be removed.","Special/Stat modifier (defense, special defense)"
255,spit-up,Spit Up,1,2,,,100,0,1,Base damage is 1.5 times the amount of energy Stockpiled.,"The user spits up a glob of pure energy that was stockpiled beforehand. Damage dealt is equal to 1.5x the amount of energy stockpiled, and all defense boosts gained from using stockpile are immediately lost with the use of spit up.",Projectile
256,swallow,Swallow,1,3,,,,0,5,Restores an amount of health equal to 2.5 times the energy stockpiled.,The user swallows stockpiled energy to restore health. The amount of health restored is equal to 2.5x the energy stockpiled. The user loses all stat bonuses gained as a result of stockpiling after using swallow.,Healing (direct)
257,heat-wave,Heat Wave,2,2,95,5,90,0,2,Has a 10% chance to burn each target.,"Flames explode from the user's body and swirl outward to scorch the opponent and anything else near the user. This attack may inflict burns on the target Pokémon. In addition, a large amount of energy goes into the success of this move.",Projectile/Status (burn)
258,hail,Hail,6,3,,5,,0,9,Changes the weather to hail for six actions.,"The user focuses its energy, becoming enshrouded in a chilly blue aura. After a few moments, the aura forms a beam that shoots up into the sky, conjuring up thick, dark clouds even as the temperature of the field drops perceptibly. Hailstones shortly begin to rain down, dealing minor damage to all non-ice-types. Under these conditions, solarbeam's power is reduced and it takes more energy to charge, blizzard's accuracy is raised to 100%, and moonlight and sunny day have their max recovery potential lowered to 33%. All non-ice-type Pokémon also take a small amount of damage per action if they are exposed to the hailstones.",Weather
259,torment,Torment,16,3,,4,100,0,1,Prevents the target from using the same move twice in a row.,"The user taunts and jeers at the opponent the opponent, lowering its self-esteem and making it too dejected to take the same action twice in a row. This effect fades with time unless torment is renewed.",Special
260,flatter,Flatter,16,3,,4,100,0,1,Raises the target's Special Attack by one stage and confuses it.,"The user attempts to flatter the opponent, praising them to high heaven. This initially startles them, leaving them slightly confused, but will also boost their confidence in their own abilities and significantly raise their special attack.",Status (confusion)/Stat modifier (special attack)
261,will-o-wisp,Will-O-Wisp,2,3,,3,85,0,1,Burns the target.,"The user creates a dancing ball of blue flame and sends it careening towards the opponent. Upon contact, it sears the foe's skin with a painful localized burn and then vanishes. This attack is erratic and slow to reach the foe, making it somewhat inaccurate.",Projectile/Status (burn)
262,memento,Memento,16,3,,13,100,0,1,Knocks the user out.  Minimizes the target's Attack and Special Attack and lowers its Speed by two stages.,"The user sacrifices all its remaining health and energy to cast a dark pall over the opponent, leaving the enemy Pokémon in a state where it no longer has the power to battle effectively. This attack reduces the target's attack and special attack to their minimum levels and makes the Pokémon sluggish as well.","Stat modifier (special attack, attack)"
263,facade,Facade,1,1,70,4,100,0,1,Damage and energy cost are doubled if the user has a major status ailment.,"The user drops the brave facade it has constructed to deal with the pain of some major status infliction and releases its pent-up rage upon its opponent, brutally pummeling them and subjecting them to all kinds of torment.",Contact
264,focus-punch,Focus Punch,7,1,150,9,100,-3,1,Fails if the user takes damage before using this move.,"This is the ultimate ultimate fighting attack. The user spends significant time and energy charging up the attack, then releases a devastating punch. The user's fist, glowing with fighting energy, is impervious to damage during the attack, and slams into the foe with unparalleled force. However, if the focus of the user is broken for some reason before the punch strikes, the damage is significantly lowered or prevented altogether.",Contact/Priority (-3)
265,smelling-salts,Smelling Salts,1,1,70,4,100,0,1,"Base damage rises if the target is paralyzed, depending on the severity.  Heals the target's paralysis.","The user slaps the opponent on both sides of its body, realigning joints that were disconnected by paralysis and shocking the opponent back into full use of its body. The more paralyzed the opponent is, the more manhandling is necessary to return them to normal functionality and, consequently, the more damage is dealt. The target is cured of paralysis if this attack is successful.",Contact/Healing (status)
266,follow-me,Follow Me,1,3,,1,,2,5,Redirects opponents' single-target moves to the user this action.,"The user taunts the opponent and does everything they can to shift the center of attention to themselves, coaxing all targets to attack the it instead of any other viable targets on the field.",Special/Priority 3
267,nature-power,Nature Power,1,3,,-1,,0,1,Uses another move depending on the arena.,"The user sharpens its natural senses, becoming more in tune with its surroundings. This allows it to utilize the raw materials of the arena in ways that it would not have before, enabling it to use attacks with which it might not normally be familiar. In an area of rocky terrain, for example, the user might be able to command the rocks as never before; in a cave, they might be able to shape the darkness into a usable projectile. Nature power, after its use, takes on the characteristics and effects of one of several different attacks. These attacks, with regard to terrain, are as follows: Grass (short, domesticated): Stun Spore; Grass (tall, wild): Razor Leaf; Sand: Earthquake; Rocky Ground: Rock Slide; Shallow Water (pond or shallower): Bubblebeam; Deep Water (lake or deeper): Surf; Underwater: Hydro Pump; Cave: Shadow Ball; Inside Buildings, Other: Swift. The terrain is assessed as being the area directly surrounding the user, as it is assumed that the natural features used to fuel it will be found in the immediate vicinity of the user.",Projectile/Status/Stat modifier
268,charge,Charge,5,3,,3,,0,5,Doubles the base damage of the user's Electric-type moves next action and raises its Special Defense by one stage.,"The builds up as much energy as they can within their body in preparation for some great attack in the near future. This also creates an energy barrier that will defend them from invasive energy attacks to some extent, slightly raising their special defense. This causes the user to spark with electrical power and the next electric-type attack they use to double in power. Charge cannot be stacked and its effects dissipate after three actions if no electrical attack is used.",Special/Stat modifier (special defense)
269,taunt,Taunt,16,3,,4,100,0,1,Prevents the target from using non-damaging moves for three actions.,"The user taunts the opponent, infuriating it and causing it to be able to perform nothing but offensive attacks for the next three actions.",Special
270,helping-hand,Helping Hand,1,3,,-1,,5,6,Multiplies the base damage of an ally's move by 1.5 this action.,"This attack is only useful in doubles or greater matches. The user wildly cheers one of its allies on, boosting the target's confidence and, consequently, the effectiveness of whatever move it chooses to use.",Special/Priority 5
